2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
-0.817912877,-0.899094939,,-0.752953529,-0.754135847,-0.661027551,-0.712715983,-0.560955465,-0.605929792,-0.54128325,
-1.033571839,-1.156711578,-1.007395387,-1.185998559,-1.173164248,-1.154096365,-1.083929062,-1.234496951,-1.096985221,-1.148168445,
-0.180600435,-0.236698076,-0.342831403,-0.250397652,-0.056255583,-0.000332717,0.047028355,0.081302553,0.073607929,0.135668606,
,-0.070984736,-0.067637593,-0.002128795,-0.009177983,0.1049252,0.198361039,0.235008627,0.169595033,0.109036274,
-0.189853638,,-0.197247237,-0.186128721,,-0.258654922,-0.195366412,-0.183698133,-0.17729196,-0.091980204,
0.505372524,0.472612709,0.480224341,0.544697285,,0.707473397,0.543806016,0.574965596,0.672654569,0.708121538,
,0.994964957,0.957573533,1.013063908,0.96744442,0.94207418,0.960940123,0.970074892,1.000279665,0.949709475,
,,,,,,-2.315310478,-2.191099167,-2.134840965,,
0.312690705,0.22860159,0.286321342,0.307435095,0.278383315,0.277204454,0.247864604,0.220615461,0.2543208,0.184953198,
0.402238131,0.351598382,0.402249694,0.553485274,0.517331183,0.500444174,0.6184237,0.648124874,0.727092505,0.648078322,
-1.130865932,-0.911264539,-0.724087954,-0.634912193,-0.646179259,-0.603535533,-0.498832524,-0.102882251,,-0.061903223,
,-2.16738534,-2.195433855,-2.147116184,-2.017451763,,-2.049856186,,,,
,,,,0.210094452,,,,,,
1.325071335,1.315753698,1.318448305,1.421821833,1.430477619,1.392944098,1.338251948,1.256156087,1.290886164,1.276802063,
